iter	Logloss
0	0.6275053446
1	0.5587421832
2	0.508301923
3	0.4671416409
4	0.4284650563
5	0.3978400126
6	0.3783889779
7	0.3661671229
8	0.3550182418
9	0.3400401636
10	0.3295130519
11	0.3175415845
12	0.30796518
13	0.2968622314
14	0.2871899448
15	0.2826809861
16	0.2767803279
17	0.2676002724
18	0.2592485497
19	0.2543053279
20	0.2491560313
21	0.2443916692
22	0.2367965612
23	0.2326058334
24	0.2271385885
25	0.2250764678
26	0.224191703
27	0.2179966
28	0.2148414825
29	0.2101079854
30	0.2056764396
31	0.2050880091
32	0.2027043814
33	0.1992736905
34	0.1955631873
35	0.1947198844
36	0.1905683433
37	0.1885555591
38	0.1856480726
39	0.1831145417
40	0.1812954545
41	0.177876039
42	0.1767680896
43	0.173993385
44	0.1727744761
45	0.1715532451
46	0.1701522045
47	0.1679358166
48	0.1651084961
49	0.1642619629
50	0.1631984348
51	0.1613128426
52	0.1588195045
53	0.1576542465
54	0.1566475817
55	0.1546136521
56	0.1531697065
57	0.1508709901
58	0.1499863
59	0.1491965482
60	0.1473859231
61	0.1455931104
62	0.1454031078
63	0.1450926414
64	0.1441795654
65	0.1411259515
66	0.1387497841
67	0.1357976821
68	0.1339931474
69	0.1316778187
70	0.1306997153
71	0.1299213681
72	0.1277390957
73	0.1266804639
74	0.1245652692
75	0.1237917789
76	0.1235186055
77	0.1226760011
78	0.1220517406
79	0.1217968168
80	0.1203531938
81	0.1176057006
82	0.1165908396
83	0.11400397
84	0.1134291841
85	0.1113313112
86	0.1110594957
87	0.1107707967
88	0.1100521078
89	0.1095209519
90	0.1072018913
91	0.1059011475
92	0.1056805407
93	0.1040391142
94	0.1025680703
95	0.101103621
96	0.1002271178
97	0.09816203149
98	0.09701218261
99	0.09480673432
