iter	Passed	Remaining
0	157	15580
1	168	8261
2	175	5688
3	181	4346
4	184	3499
5	185	2907
6	187	2497
7	190	2187
8	192	1943
9	193	1742
10	195	1577
11	196	1440
12	197	1321
13	198	1219
14	199	1130
15	200	1051
16	201	981
17	201	919
18	202	863
19	203	813
20	204	767
21	204	726
22	205	688
23	206	653
24	207	621
25	208	592
26	209	565
27	209	539
28	210	515
29	211	493
30	212	472
31	212	452
32	213	433
33	214	416
34	215	399
35	215	383
36	216	368
37	217	354
38	218	341
39	218	328
40	219	316
41	220	304
42	221	293
43	222	282
44	222	272
45	223	262
46	224	253
47	225	244
48	226	235
49	226	226
50	227	218
51	228	210
52	229	203
53	230	196
54	231	189
55	231	182
56	232	175
57	233	169
58	234	162
59	235	156
60	236	151
61	237	145
62	237	139
63	238	134
64	239	128
65	240	123
66	241	118
67	242	114
68	243	109
69	244	104
70	245	100
71	245	95
72	246	91
73	247	86
74	248	82
75	249	78
76	249	74
77	250	70
78	251	66
79	252	63
80	252	59
81	253	55
82	254	52
83	255	48
84	255	45
85	256	41
86	257	38
87	258	35
88	258	32
89	259	28
90	260	25
91	261	22
92	262	19
93	263	16
94	263	13
95	264	11
96	265	8
97	266	5
98	266	2
99	267	0
